tweet_id,created_at,favorite_count,retweet_count,followers_count,profile_color,url,source
871102520638267392,Sat Jun 03 20:33:19 +0000 2017,19377,4959,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
871032628920680449,Sat Jun 03 15:55:36 +0000 2017,21087,3431,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870804317367881728,Sat Jun 03 00:48:22 +0000 2017,31215,5573,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870726314365509632,Fri Jun 02 19:38:25 +0000 2017,113,3,8894575,,s,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870656317836468226,Fri Jun 02 15:00:16 +0000 2017,11415,2351,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870374049280663552,Thu Jun 01 20:18:38 +0000 2017,77130,23972,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870308999962521604,Thu Jun 01 16:00:09 +0000 2017,20363,3745,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
870063196459192321,Wed May 31 23:43:25 +0000 2017,33890,7504,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
869772420881756160,Wed May 31 04:27:59 +0000 2017,39585,9158,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
869702957897576449,Tue May 30 23:51:58 +0000 2017,26222,5685,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
869596645499047938,Tue May 30 16:49:31 +0000 2017,14832,2808,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
869227993411051520,Mon May 29 16:24:37 +0000 2017,18979,3402,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
868880397819494401,Sun May 28 17:23:24 +0000 2017,60763,13038,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
868639477480148993,Sun May 28 01:26:04 +0000 2017,0,1874,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
868622495443632128,Sun May 28 00:18:35 +0000 2017,24764,4782,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
868552278524837888,Sat May 27 19:39:34 +0000 2017,9370,1874,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
867900495410671616,Fri May 26 00:29:37 +0000 2017,22548,3796,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
867774946302451713,Thu May 25 16:10:44 +0000 2017,31646,6649,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
867421006826221569,Wed May 24 16:44:18 +0000 2017,14985,2266,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
867072653475098625,Tue May 23 17:40:04 +0000 2017,0,108,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
867051520902168576,Tue May 23 16:16:06 +0000 2017,30013,7170,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
866720684873056260,Mon May 22 18:21:28 +0000 2017,18654,4360,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
866686824827068416,Mon May 22 16:06:55 +0000 2017,17947,3151,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
866450705531457537,Mon May 22 00:28:40 +0000 2017,113983,32084,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
866334964761202691,Sun May 21 16:48:45 +0000 2017,48811,12968,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
866094527597207552,Sun May 21 00:53:21 +0000 2017,0,7632,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
865718153858494464,Fri May 19 23:57:46 +0000 2017,24000,5126,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
865359393868664832,Fri May 19 00:12:11 +0000 2017,24701,4557,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
865006731092295680,Thu May 18 00:50:50 +0000 2017,26196,7045,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
864873206498414592,Wed May 17 16:00:15 +0000 2017,30151,7933,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
864279568663928832,Tue May 16 00:41:21 +0000 2017,13652,2747,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
864197398364647424,Mon May 15 19:14:50 +0000 2017,28006,8055,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863907417377173506,Mon May 15 00:02:33 +0000 2017,19290,3789,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863553081350529029,Sun May 14 00:34:33 +0000 2017,14290,3836,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863471782782697472,Sat May 13 19:11:30 +0000 2017,0,2218,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863432100342583297,Sat May 13 16:33:49 +0000 2017,22264,4795,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
863427515083354112,Sat May 13 16:15:35 +0000 2017,2060,88,8894575,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
